date,Cardiff_Centre_NO2,Mean_4_long_running_urban_background_sites_NO2,Swansea_Morriston_Roadside_NO2,Mean_3_long_running_traffic_sites_NO2,Swansea_Morriston_Roadside_PM10,Mean_2_Long_running_Traffic_PM10,Cardiff_Centre_PM10,Mean_3_long_running_urban_background_PM10,Aston_Hill_O3,Mean_3_long_running_rural_sites_O3
01/01/1987,,,,,,,,,,
01/01/1988,,,,,,,,,61,
01/01/1989,,,,,,,,,62,
01/01/1990,,,,,,,,,66,
01/01/1991,,,,,,,,,56,
01/01/1992,47,,,,,,,,60,
01/01/1993,43,,,,,,40,,60,
01/01/1994,42,,,,,,45,,65,
01/01/1995,41,,,,,,32,,64,
01/01/1996,40,,,,,,33,,58,
01/01/1997,39,,,,,,34,,56,
01/01/1998,39,,,,,,29,,62,
01/01/1999,33,,,,,,28,,66,
01/01/2000,30,,,,,,25,,63,
01/01/2001,33,,31,,24,,27,25,63,
01/01/2002,33,,27,25.5,24,,27,24,61,
01/01/2003,35,25.5,32,28.5,26,,35,29,62,66
01/01/2004,30,23,33,27,23,23,26,25,66,70
01/01/2005,35,22.75,31,25,23,24,26,25,70,70
01/01/2006,31,22,31,26,25,24,27,26,72,71
01/01/2007,31,22,31,25.5,22,22,22,24,63,66
01/01/2008,29,21,29,24.5,23,21,20,22,70,68
01/01/2009,31,20.75,29,25,23,20,18,20,64,64
01/01/2010,33,22.75,31,27.5,19,18,22,20,56,62
01/01/2011,27,20.5,27,23,18,20,22,23,61,64
01/01/2012,27,20.25,28,24,14,16,18,19,62,62
01/01/2013,26,19.75,29,25.5,15,16,19,20,63,65
01/01/2014,25,19,26,23.5,13,16,16,19,65,66
01/01/2015,27,19.5,25,22,,17,16,21,65,65
